Accession Number	Prosite Hits	Prosite Confidence	Prosite Codes	Pfam Hits	Pfam Codes	Pfam Clan Names	Pfam Clan Numbers	Pfam E-vals	Blast Hits	Blast E-vals	Prints Hits	Print Codes	Function	Comments	GO Codes
ABO11124	N-glycosylation site,cAMP- and cGMP-dependent protein kinase phosphorylation site,N-myristoylation site,Amidation site	1	PS00001,PS00004,PS00008,PS00009	Transposase DDE domain	PF01609.20	Ribonuclease H-like superfamily	CL0219	8e-07	hypothetical protein T630_1412 [Acinetobacter baumannii MRSN 3527],Uncharacterised protein [Acinetobacter baumannii],hypothetical protein, partial [Acinetobacter baumannii],transposase [Acinetobacter baumannii],transposase [Acinetobacter baumannii],transposase, partial [Acinetobacter baumannii],hypothetical protein J943_0001, partial [Acinetobacter baumannii 44362_10],hypothetical protein, partial [Acinetobacter baumannii],MULTISPECIES: transposase [Acinetobacter],MULTISPECIES: IS4 family transposase ISAba1 [Gammaproteobacteria]	1e-113,1e-113,2e-113,2e-113,2e-113,2e-113,2e-113,2e-113,2e-113,2e-113	FAD-dependent pyridine nucleotide reductase signature,Ankyrin repeat signature,RNA (C5-cytosine) methyltransferase signature,Pyridine nucleotide disulphide reductase class-I signature	FADPNR,ANKYRIN,RCMTFAMILY,PNDRDTASEI	transposase	involved in transposition of DNA  (pfam), mechanism involves cutting w/ ribonuclease/reductase (blast)	GO:0004803
ABO11121	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00008	Transposase zinc-binding domain,Putative transposase	PF14319.5,PF04986.12	noresult,His-hydrophobic-His tranposase Y1,Y2 superfamily	noresult,CL0481	1.6e-25,7.2e-16	putative transposase [Acinetobacter baumannii ATCC 17978],hypothetical protein IB84_00390 [Vibrio cholerae],IS91 family transposase, partial [Acinetobacter baumannii],Transposase [Bibersteinia trehalosi USDA-ARS-USMARC-189],putative transposase, partial [[Enterobacter] aerogenes],transposase, partial [Acinetobacter baumannii],Transposase [Bibersteinia trehalosi USDA-ARS-USMARC-192],putative transposase, partial [Escherichia coli OK1357],transposase zinc-binding domain protein, partial [uncultured bacterium],IS91 family transposase, partial [Vibrio cholerae]	1e-159,2e-139,3e-137,4e-137,4e-137,5e-137,5e-137,5e-137,6e-137,6e-137	Cytosine-specific DNA methyltransferase signature,DnaJ domain signature	C5METTRFRASE,JDOMAIN	transposase	transposase (pfam/blast) which transposes elements near cysteine target (prints)	GO:0004803
ABO12990	noresult	0	noresult	noresult	noresult	noresult	noresult	noresult	23-dihydroxybenzoate-AMP ligase [Acinetobacter baumannii ATCC 17978],2,3-dihydroxybenzoate-AMP ligase [Acinetobacter baumannii],MULTISPECIES: 2,3-dihydroxybenzoate-AMP ligase [Acinetobacter],2,3-dihydroxybenzoate-AMP ligase [Acinetobacter soli],MULTISPECIES: 2,3-dihydroxybenzoate-AMP ligase [Acinetobacter],2,3-dihydroxybenzoate-AMP ligase [Acinetobacter rudis],hypothetical protein [Pseudomonas japonica],MULTISPECIES: 2,3-dihydroxybenzoate-AMP ligase [Marinomonas],hypothetical protein [Lachnospiraceae bacterium ND2006],2,3-dihydroxybenzoate-AMP ligase [Aquamicrobium defluvii]	5e-17,1e-14,1e-14,1e-12,1e-12,2e-12,2e-07,8e-05,1e-04,0.007	AMP-binding signature	AMPBINDING	ligase	ligase which facilitates AMP binding (blast/prints)	GO:0016874
ABO12993	Carrier protein (CP) domain profile	2	PS50075	AMP-binding enzyme,AMP-binding enzyme C-terminal domain,Phosphopantetheine attachment site	PF00501.27,PF13193.5,PF00550.24	ANL superfamily,AMP-binding enzyme C-terminal domain superfamily,ACP-like superfamily	CL0378,CL0531,CL0314	5.9e-21,2.1e-08,3.4e-05	non-ribosomal peptide synthetase [Acinetobacter baumannii],non-ribosomal peptide synthetase [Acinetobacter indicus],MULTISPECIES: non-ribosomal peptide synthetase [Acinetobacter],putative non-ribosomal peptide synthetase [Acinetobacter baumannii ATCC 17978],non-ribosomal peptide synthetase [Acinetobacter soli],MULTISPECIES: peptide synthetase [Acinetobacter],hypothetical protein [Acinetobacter rudis],peptide synthetase, partial [Acinetobacter baumannii],peptide synthetase [Acinetobacter pittii],peptide synthetase, partial [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-121,6e-121,1e-120	AMP-binding signature,Erythrocruorin family signature ,Apical membrane antigen 1 signature,P450 superfamily signature,CYP52 P450 protein signature,Group II E-class P450 signature,LanC-like protein superfamily signature,Acriflavin resistance protein family signature,Fibronectin type II repeat signature,RecA protein signature	AMPBINDING,ERYTHCRUORIN,MEROZOITESA,P450,EP450IICYP52,EP450II,LANCSUPER,ACRIFLAVINRP,FNTYPEII,RECA	amp binding enzyme	AMP binding enzyme (pfam/prints) which facilitates peptide synthesis (blast)	GO:0000166
ABO11122	Protein prenyltransferases alpha subunit repeat profile,4Fe-4S ferredoxin-type iron-sulfur binding domain profile	2	PS51147,PS51379	Putative transposase	PF04986.12	His-hydrophobic-His tranposase Y1,Y2 superfamily	CL0481	2.7e-32	putative transposase [Acinetobacter baumannii ATCC 17978],IS91 family transposase [Escherichia coli],IS91 family transposase, partial [Escherichia coli],IS91 family transposase, partial [Acinetobacter baumannii],IS91 family transposase, partial [Vibrio cholerae],IS91 family transposase, partial [Escherichia coli],MULTISPECIES: IS91 family transposase [Proteobacteria],IS91 family transposase, partial [Shigella sonnei],MULTISPECIES: IS91 family transposase, partial [Gammaproteobacteria],IS91 family transposase, partial [Pseudomonas aeruginosa]	6e-158,3e-157,4e-157,5e-157,5e-157,5e-157,6e-157,7e-157,7e-157,9e-157	FAD-dependent pyridine nucleotide reductase signature	FADPNR	transposase	Transposase (pfam blast) which uses tyrosine as a nucleophile (pfam)	GO:0004803
ABO11125	GTF2I-like repeat profile	2	PS51139	noresult	noresult	noresult	noresult	noresult	transposase [Acinetobacter baumannii ATCC 17978],iS4 family transposase ORF 2 [Acinetobacter baumannii 45075_1],transposase DDE domain protein, partial [Acinetobacter baumannii 73736],transposase DDE domain protein, partial [Acinetobacter baumannii 1264936],transposase DDE domain protein, partial [Acinetobacter baumannii 25253_5],putative transposase, partial [Acinetobacter baumannii 470922],transposase DDE domain protein, partial [Acinetobacter baumannii 23671],transposase [Acinetobacter baumannii],putative transposase, partial [Acinetobacter baumannii 96512],putative transposase, partial [Acinetobacter baumannii 16553_3]	5e-32,3e-31,4e-30,4e-30,5e-30,6e-30,6e-30,6e-30,7e-30,7e-30	noresult	noresult	transposase	Transposase (blast) no other results	GO:0004803
ABO12994	Putative AMP-binding domain signature	3	PS00455	Condensation domain,AMP-binding enzyme	PF00668.19,PF00501.27	CoA-dependent acyltransferase superfamily,ANL superfamily	CL0149,CL0378	2.5e-21,6.6e-32	putative non-ribosomal peptide synthetase [Acinetobacter baumannii ATCC 17978],MULTISPECIES: non-ribosomal peptide synthetase [Acinetobacter],non-ribosomal peptide synthetase [Acinetobacter indicus],non-ribosomal peptide synthetase [Acinetobacter baumannii],non-ribosomal peptide synthetase [Acinetobacter soli],MULTISPECIES: peptide synthetase [Acinetobacter],hypothetical protein [Acinetobacter rudis],non-ribosomal peptide synthetase [Acinetobacter larvae],hypothetical protein [Pseudomonas japonica],MULTISPECIES: hypothetical protein [Marinomonas]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-164,7e-152,2e-148	AMP-binding signature,Fumarate lyase superfamily signature,Erythrocruorin family signature ,LanC-like protein superfamily signature,RecA protein signature,Asparaginase/glutaminase family signature,B-class P450 signature,Fibronectin type III repeat signature	AMPBINDING,FUMRATELYASE,ERYTHCRUORIN,LANCSUPER,RECA,ASNGLNASE,BP450,FNTYPEIII	amp binding domain	AMP binding enzyme (pfam) which activates peptide synthesis (blast)	GO:0000166
ABO12318	Thiolases active site,Thiolases signature 2	3	PS00099,PS00737	Thiolase,Thiolase	PF00108.22,PF02803.17	Thiolase-like Superfamily,Thiolase-like Superfamily	CL0046,CL0046	4.9e-39,9e-47	beta-ketoadipyl CoA thiolase [Acinetobacter baumannii ATCC 17978],beta-ketoadipyl CoA thiolase [Acinetobacter baumannii ATCC 17978],beta-ketoadipyl CoA thiolase [Acinetobacter baumannii],beta-ketoadipyl CoA thiolase, partial [Acinetobacter baumannii],3-oxoadipyl-CoA thiolase, partial [Acinetobacter baumannii],3-oxoadipyl-CoA thiolase [Acinetobacter baumannii OIFC099],beta-ketoadipyl CoA thiolase, partial [Acinetobacter baumannii],beta-ketoadipyl CoA thiolase, partial [Acinetobacter baumannii],beta-ketoadipyl CoA thiolase [Acinetobacter baumannii],beta-ketoadipyl CoA thiolase, partial [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	FAD-dependent pyridine nucleotide reductase signature,DNA repair protein radA signature	FADPNR,DNAREPAIRADA	thiolase	thiolase (pfam) that catalyzes cleavage of beta-ketoadiphyl-coA (blast)	GO:0016829
ABO11128	cAMP- and cGMP-dependent protein kinase phosphorylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,Amidation site	1	PS00004,PS00005,PS00006,PS00009	BolA-like protein	PF01722.17	noresult	noresult	1.8e-12	putative toluene tolerance protein Ttg2F [Acinetobacter baumannii AYE],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],MULTISPECIES: hypothetical protein [Acinetobacter],hypothetical protein [Acinetobacter baumannii]	1e-54,4e-54,5e-54,6e-54,8e-54,8e-54,1e-53,2e-53,2e-53,3e-53	noresult	noresult	protein kinase	CGMP dependent protein kinase (prosite)	GO:0016301
ABO12315	Sugar transport proteins signature 1,Sugar transport proteins signature 2,Major facilitator superfamily (MFS) profile	3	PS00216,PS00217,PS50850	Major Facilitator Superfamily	PF07690.15	Major Facilitator Superfamily	CL0015	7.8e-43	putative transport protein [Acinetobacter baumannii ATCC 17978],MFS transporter [Acinetobacter baumannii],MFS transporter [Acinetobacter baumannii],MFS transporter [Acinetobacter baumannii],MFS transporter [Acinetobacter calcoaceticus],4-hydroxybenzoate transporter PcaK [Acinetobacter baumannii],MFS transporter [Acinetobacter baumannii],MFS transporter [Acinetobacter baumannii],MFS transporter [Acinetobacter baumannii],MFS transporter [Acinetobacter pittii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Sugar transporter signature,Mammalian facilitated glucose transporter family signature,Glucose transporter type 3 (GLUT3) signature,Glucose transporter type 1 (GLUT1) signature,Tetracycline resistance protein signature,Fructose transporter (GLUT5) signature,Tetracycline resistance protein TetB signature,Glucose transporter type 2 (GLUT2) signature,Ankyrin repeat signature,DnaJ domain signature	SUGRTRNSPORT,GLUCTRNSPORT,GLUCTRSPORT3,GLUCTRSPORT1,TCRTETA,GLUCTRSPORT5,TCRTETB,GLUCTRSPORT2,ANKYRIN,JDOMAIN	transporter	sugar transporter (blast/pfam/prints)	GO:0005215
ABO12314	Major facilitator superfamily (MFS) profile	3	PS50850	noresult	noresult	noresult	noresult	noresult	4-hydroxybenzoate transporter PcaK [Acinetobacter baumannii],major Facilitator Superfamily protein [Acinetobacter baumannii 44467_6],hypothetical protein X964_06030, partial [Acinetobacter baumannii MDR_MMC4],major Facilitator Superfamily protein, partial [Acinetobacter baumannii 855125],4-hydroxybenzoate transporter PcaK [Acinetobacter baumannii 26016_7],4-hydroxybenzoate transporter [Acinetobacter baumannii ABNIH7],MFS transporter [Acinetobacter baumannii],MFS transporter [Acinetobacter baumannii],MFS transporter [Acinetobacter baumannii],MFS transporter [Acinetobacter calcoaceticus]	1e-56,2e-56,2e-56,2e-56,4e-54,3e-53,5e-53,5e-53,5e-53,5e-53	Cytotoxic T-lymphocyte antigen 4 signature,Sugar transporter signature	CTLANTIGEN4,SUGRTRNSPORT	transporter	hydroxy benzoate transporter (blast)	GO:0005215
ABO10871	LysR-type HTH domain profile	3	PS50931	Bacterial regulatory helix-turn-helix protein,LysR substrate binding domain	PF00126.26,PF03466.19	Helix-turn-helix clan,Periplasmic binding protein clan	CL0123,CL0177	4.4e-19,3e-43	MULTISPECIES: LysR family transcriptional regulator [Acinetobacter calcoaceticus/baumannii complex],LysR family transcriptional regulator [Acinetobacter baumannii],MULTISPECIES: LysR family transcriptional regulator [Acinetobacter calcoaceticus/baumannii complex],LysR family transcriptional regulator [Acinetobacter baumannii],LysR family transcriptional regulator [Acinetobacter nosocomialis],MULTISPECIES: LysR family transcriptional regulator [Acinetobacter calcoaceticus/baumannii complex],LysR family transcriptional regulator [Acinetobacter baumannii],LysR family transcriptional regulator [Acinetobacter baumannii],LysR family transcriptional regulator [Acinetobacter baumannii],LysR family transcriptional regulator [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	LysR bacterial regulatory protein HTH signature,Ankyrin repeat signature,Cystic fibrosis transmembrane conductance regulator signature,Prolyl-tRNA synthetase signature	HTHLYSR,ANKYRIN,CYSFIBREGLTR,TRNASYNTHPRO	transcriptional regulator	regulates DNA conformation and thereby transcription (pfam/blastprints)	GO:0006351
ABO10873	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,Tyrosine kinase phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00007,PS00008	Aconitase C-terminal domain	PF00694.18	LeuD/IlvD-like	CL0364	3.2e-37	MULTISPECIES: 3-isopropylmalate dehydratase small subunit [Acinetobacter calcoaceticus/baumannii complex],3-isopropylmalate dehydratase small subunit [Acinetobacter baumannii],3-isopropylmalate dehydratase small subunit [Acinetobacter baumannii],3-isopropylmalate dehydratase small subunit [Acinetobacter pittii],3-isopropylmalate dehydratase small subunit [Acinetobacter baumannii],3-isopropylmalate dehydratase small subunit [Acinetobacter baumannii],3-isopropylmalate dehydratase small subunit [Acinetobacter baumannii],3-isopropylmalate dehydratase small subunit [Acinetobacter baumannii],3-isopropylmalate dehydratase small subunit [Acinetobacter baumannii],3-isopropylmalate dehydratase small subunit [Acinetobacter baumannii]	7e-159,1e-158,2e-158,2e-158,2e-158,2e-158,2e-158,2e-158,3e-158,3e-158	Aconitase family signature,Ankyrin repeat signature,Methionine aminopeptidase-1 signature,Bacterial lipocalin signature	ACONITASE,ANKYRIN,MAPEPTIDASE,BCTLIPOCALIN	aconitase	changes stereospecific conformation (print/pfam)	GO:0016853
ABO10874	N-glycosylation site,cAMP- and cGMP-dependent protein kinase phosphorylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00001,PS00004,PS00005,PS00006,PS00008	noresult	noresult	noresult	noresult	noresult	hypothetical protein [Acinetobacter baumannii],hypothetical protein MWQ_01804 [Acinetobacter seifertii],hypothetical protein K023_1371 [Acinetobacter baumannii 25442_7],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter nosocomialis],hypothetical protein P649_1235 [Acinetobacter baumannii UH12408],hypothetical protein J695_0913 [Acinetobacter baumannii 1406182],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii]	2e-123,1e-122,2e-122,2e-122,3e-122,3e-122,4e-122,2e-121,2e-121,2e-121	Bacterial chemotaxis sensory transducer signature,FAD-dependent pyridine nucleotide reductase signature,O-sialoglycoprotein endopeptidase (M22) metallo-protease family signature,Cysteinyl-tRNA synthetase signature,RNA (C5-cytosine) methyltransferase signature,Fumarate lyase superfamily signature	CHEMTRNSDUCR,FADPNR,OSIALOPTASE,TRNASYNTHCYS,RCMTFAMILY,FUMRATELYASE	transducer	Transduces signal using cGMP (gcpr pathway)	GO:0004871
ABO10876	S1 domain IF1 type profile	3	PS50832	Translation initiation factor 1A / IF-1	PF01176.18	OB fold	CL0021	1.4e-28	MULTISPECIES: translation initiation factor IF-1 [Acinetobacter],protein chain initiation factor IF-1 [Acinetobacter baumannii SDF],MULTISPECIES: translation initiation factor IF-1 [Acinetobacter],translation initiation factor IF-1 [Acinetobacter baumannii],translation initiation factor IF-1 [Acinetobacter rudis],MULTISPECIES: translation initiation factor IF-1 [Acinetobacter],MULTISPECIES: translation initiation factor IF-1 [Alkanindiges],translation initiation factor IF-1 [Acinetobacter baumannii],translation initiation factor IF-1 [Acinetobacter baumannii],MULTISPECIES: translation initiation factor IF-1 [Acinetobacter]	4e-46,6e-46,9e-46,1e-45,1e-45,2e-45,2e-45,2e-45,3e-45,4e-45	Ribosomal protein S12 signature,Ribosomal protein S1 signature	RIBOSOMALS12,RIBOSOMALS1	translation factor	Translation initiation factor (pfam/blast) in the ribosome(prints)	GO:0003735
ABO12650	noresult	3	noresult	AraC-like ligand binding domain,Helix-turn-helix domain	PF02311.18,PF12833.6	Cupin fold,Helix-turn-helix clan	CL0029,CL0123	1.3e-23,5.4e-21	AraC-like ligand binding domain protein [Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841],AraC family transcriptional regulator [Acinetobacter baumannii],AraC family transcriptional regulator [Acinetobacter baumannii],AraC family transcriptional regulator [Acinetobacter baumannii],AraC family transcriptional regulator [Acinetobacter baumannii],AraC family transcriptional regulator [Acinetobacter baumannii],AraC family transcriptional regulator [Acinetobacter baumannii],AraC family transcriptional regulator [Acinetobacter baumannii],AraC family transcriptional regulator [Acinetobacter baumannii],AraC family transcriptional regulator [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	AraC bacterial regulatory protein HTH signature,RNA (C5-cytosine) methyltransferase signature,C2HC-type zinc-finger signature	HTHARAC,RCMTFAMILY,C2HCZNFINGER	ligand binding domain	Regulates helix formation of bacteria (conformation)[pfam] through ligand binding (blast/prints)	GO:0004871
ABO12657	Casein kinase II phosphorylation site,N-myristoylation site	1	PS00006,PS00008	Uncharacterized protein conserved in bacteria 	PF09939.8	PRC-barrel like superfamily	CL0350	1.9e-23	hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],MULTISPECIES: DUF2171 domain-containing protein [Acinetobacter],hypothetical protein [Acinetobacter baumannii],MULTISPECIES: hypothetical protein [Acinetobacter],hypothetical protein, partial [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],MULTISPECIES: hypothetical protein [Acinetobacter]	3e-47,5e-47,8e-47,9e-47,1e-46,3e-46,3e-46,1e-45,2e-45,4e-45	FAD-dependent pyridine nucleotide reductase signature	FADPNR	nucleotide reductase	likely nucleotide reducatase as it uses FAD cofactor (prints)	GO:0016491
ABO12654	EF-hand calcium-binding domain profile	2	PS50222	Nodulation protein S 	PF05401.10	FAD/NAD(P)-binding Rossmann fold Superfamily	CL0063	7.7e-18	SAM-dependent methyltransferase [Acinetobacter baumannii],SAM-dependent methyltransferase [Acinetobacter baumannii],MULTISPECIES: SAM-dependent methyltransferase [Acinetobacter calcoaceticus/baumannii complex],SAM-dependent methyltransferase [Acinetobacter baumannii],SAM-dependent methyltransferase [Acinetobacter baumannii],SAM-dependent methyltransferase [Acinetobacter baumannii],ribosomal protein L11 methyltransferase-like protein [Acinetobacter baumannii WC-692],SAM-dependent methyltransferase [Acinetobacter baumannii],SAM-dependent methyltransferase [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii]	2e-147,4e-147,7e-147,8e-147,9e-147,1e-146,1e-146,1e-146,1e-146,2e-146	RNA (C5-cytosine) methyltransferase signature,DnaJ domain signature,Prokaryotic DNA topoisomerase I signature,Mannitol dehydrogenase signature,Erythrocruorin family signature ,Dynamin signature,AMP-binding signature,Glutamate methyltransferase family signature	RCMTFAMILY,JDOMAIN,PRTPISMRASEI,MTLDHDRGNASE,ERYTHCRUORIN,DYNAMIN,AMPBINDING,CHERMTFRASE	methyltransferase	involved in calcium signaling pathway EF hand (pfam) and activates protein using methyltransferase (blast/print)	GO:0016740
ABO11109	N-glycosylation site,cAMP- and cGMP-dependent protein kinase phosphorylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site,Leucine zipper pattern	1	PS00001,PS00004,PS00005,PS00006,PS00008,PS00029	Bacterial TniB protein	PF05621.10	P-loop containing nucleoside triphosphate hydrolase superfamily	CL0023	3.8e-69	Transposition Helper [Acinetobacter baumannii ATCC 17978],MULTISPECIES: transposase [Acinetobacter],putative transposition helper protein [Acinetobacter baumannii ABNIH20],putative transposition helper protein [Acinetobacter baumannii],putative transposition helper protein [Acinetobacter baumannii ABNIH16],transposase [Acinetobacter baumannii],putative transposition helper protein, partial [Acinetobacter baumannii ABNIH13],transposase [Acinetobacter baumannii],putative transposition helper protein [Acinetobacter baumannii MDR-ZJ06],putative transposition helper protein, partial [Acinetobacter baumannii ABNIH23]	4e-176,3e-175,3e-172,7e-172,1e-171,1e-171,1e-171,1e-171,2e-171,2e-171	Ankyrin repeat signature,Subtilisin serine protease family (S8) signature,Gram-positive coccus surface protein anchor signature	ANKYRIN,SUBTILISIN,GPOSANCHOR	protein folding ankyrin repeats	ANKYRIN repeats (blast/prints) regulators in protein folding	GO:0006457
ABO11150	NHL repeat profile	2	PS51125	haloacid dehalogenase-like hydrolase	PF08282.11	HAD superfamily	CL0137	1.7e-50	hydrolase [Acinetobacter baumannii],hydrolase [Acinetobacter baumannii],hydrolase [Acinetobacter baumannii],hydrolase [Acinetobacter baumannii],hydrolase [Acinetobacter baumannii],hydrolase [Acinetobacter baumannii],hydrolase [Acinetobacter baumannii],hydrolase [Acinetobacter baumannii],hydrolase [Acinetobacter baumannii],hydrolase [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	P-type cation-transporting ATPase superfamily signature,FAD-dependent pyridine nucleotide reductase signature,H+-transporting ATPase (proton pump) signature,Glycosyl hydrolase family 1 signature,Haloacid dehalogenase/epoxide hydrolase family signature	CATATPASE,FADPNR,HATPASE,GLHYDRLASE1,HADHALOGNASE	hydrolase	hydrolase (blast) that delaholgenates using active aspartic acid cite (pfam)	GO:0016787
ABO11152	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,Tyrosine kinase phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00007,PS00008	Copper resistance protein B precursor 	PF05275.10	Outer membrane beta-barrel protein superfamily	CL0193	4.9e-46	copper resistance protein B [Acinetobacter baumannii],copper resistance protein CopB [Acinetobacter baumannii],copper resistance protein B [Acinetobacter baumannii],copper resistance protein B [Acinetobacter baumannii],copper resistance protein CopB [Acinetobacter baumannii],copper resistance protein CopB [Acinetobacter baumannii],copper resistance protein B precursor [Acinetobacter baumannii MDR-ZJ06],copper resistance protein B [Acinetobacter baumannii],copper resistance protein B [Acinetobacter baumannii],copper resistance protein B [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Prolyl-tRNA synthetase signature,FAD-dependent pyridine nucleotide reductase signature	TRNASYNTHPRO,FADPNR	copper resistance	provides copper resistance (pfam/blast) using beta barrel on membrane (pfam)	GO:0016491
ABO11179	TetR-type HTH domain profile	3	PS50977	Bacterial regulatory proteins	PF00440.22	Helix-turn-helix clan	CL0123	1.5e-12	putative transcriptional regulator [Acinetobacter baumannii ATCC 17978],TetR family transcriptional regulator [Acinetobacter baumannii],TetR family transcriptional regulator [Acinetobacter baumannii],TetR family transcriptional regulator [Acinetobacter baumannii],hypothetical protein F978_01345 [Acinetobacter baumannii NIPH 615],TetR family transcriptional regulator [Acinetobacter baumannii],TetR family transcriptional regulator [Acinetobacter baumannii],bacterial regulatory s, tetR family protein [Acinetobacter baumannii 541915],bacterial regulatory s, tetR family protein [Acinetobacter baumannii 781407],TetR family transcriptional regulator [Acinetobacter baumannii]	3e-132,2e-131,2e-131,7e-131,8e-131,9e-131,1e-130,2e-130,2e-130,2e-130	TetR bacterial regulatory protein HTH signature,FAD-dependent pyridine nucleotide reductase signature,Ankyrin repeat signature	HTHTETR,FADPNR,ANKYRIN	transciptional regulator	regulates(print) helix structure (pfam), to regulate transcription (blast)	GO:0006351
